run_id,variant,case_set,instance_id,solved,steps_used,steps_allowed,solve_fraction,total_tokens,cost_bpt,stopped_reason
A_c1_9b_mcts,A,c1,board_rollup_001,1,4,18,0.2222,13289,119601.0,auto_finalized
A_c1_9b_mcts,A,c1,budget_snapshot_001,0,18,18,1.0000,91855,826695.0,reviewer_rejected
A_c1_9b_mcts,A,c1,contact_card_001,0,18,18,1.0000,114268,1028412.0,reviewer_rejected
A_c1_9b_mcts,A,c1,digest_preview_001,0,18,18,1.0000,135020,1215180.0,reviewer_rejected
A_c1_9b_mcts,A,c1,incident_brief_001,1,6,18,0.3333,21513,193617.0,auto_finalized
A_c1_9b_mcts,A,c1,invoice_footer_001,1,9,18,0.5000,76519,688671.0,auto_finalized
A_c1_9b_mcts,A,c1,label_formatter_001,1,7,18,0.3889,38132,343188.0,auto_finalized
A_c1_9b_mcts,A,c1,median_window_001,1,3,18,0.1667,11481,103329.0,auto_finalized
A_c1_9b_mcts,A,c1,milestone_rollup_001,0,4,18,0.2222,14427,129843.0,reviewer_rejected
A_c1_9b_mcts,A,c1,nested_app_001,1,8,18,0.4444,46397,417573.0,auto_finalized
A_c1_9b_mcts,A,c1,owner_recap_001,1,9,18,0.5000,47012,423108.0,auto_finalized
A_c1_9b_mcts,A,c1,owner_sort_001,1,3,18,0.1667,11833,106497.0,auto_finalized
A_c1_9b_mcts,A,c1,priority_snapshot_001,1,5,18,0.2778,17776,159984.0,auto_finalized
A_c1_9b_mcts,A,c1,renewal_preview_001,1,11,18,0.6111,48328,434952.0,auto_finalized
A_c1_9b_mcts,A,c1,risk_score_001,1,3,18,0.1667,9610,86490.0,auto_finalized
A_c1_9b_mcts,A,c1,shipment_preview_001,0,11,18,0.6111,77913,701217.0,reviewer_rejected
A_c1_9b_mcts,A,c1,simple_mean_bug_001,1,3,18,0.1667,9698,87282.0,auto_finalized
A_c1_9b_mcts,A,c1,status_slug_001,1,3,18,0.1667,9013,81117.0,auto_finalized
A_c1_9b_mcts,A,c1,team_digest_001,1,4,18,0.2222,21924,197316.0,auto_finalized
A_c1_9b_mcts,A,c1,workspace_digest_001,1,6,18,0.3333,23890,215010.0,auto_finalized
A_c2_9b_mcts,A,c2,assignee_board_001,0,18,18,1.0000,89020,801180.0,max_iterations
A_c2_9b_mcts,A,c2,campaign_header_001,0,5,18,0.2778,11298,101682.0,parse_failure
A_c2_9b_mcts,A,c2,comment_highlight_001,1,4,18,0.2222,8344,75096.0,auto_finalized
A_c2_9b_mcts,A,c2,dispatch_preview_001,0,18,18,1.0000,59779,538011.0,empty_patch_guardrail
A_c2_9b_mcts,A,c2,fee_rounding_001,1,3,18,0.1667,4830,43470.0,auto_finalized
A_c2_9b_mcts,A,c2,headline_api_001,0,12,18,0.6667,106523,958707.0,max_iterations
A_c2_9b_mcts,A,c2,incident_brief_c2_001,1,4,18,0.2222,7696,69264.0,auto_finalized
A_c2_9b_mcts,A,c2,invoice_summary_001,1,4,18,0.2222,8139,73251.0,auto_finalized
A_c2_9b_mcts,A,c2,label_join_001,1,4,18,0.2222,6865,61785.0,auto_finalized
A_c2_9b_mcts,A,c2,partner_brief_001,1,6,18,0.3333,10785,97065.0,auto_finalized
A_c2_9b_mcts,A,c2,profile_preview_001,0,18,18,1.0000,55661,500949.0,max_iterations
A_c2_9b_mcts,A,c2,queue_digest_001,1,4,18,0.2222,7686,69174.0,auto_finalized
A_c2_9b_mcts,A,c2,ratio_guard_001,0,3,18,0.1667,8188,73692.0,parse_failure
A_c2_9b_mcts,A,c2,renewal_banner_001,0,18,18,1.0000,59875,538875.0,max_iterations
A_c2_9b_mcts,A,c2,retry_slot_001,1,3,18,0.1667,5004,45036.0,auto_finalized
A_c2_9b_mcts,A,c2,shipment_digest_001,1,4,18,0.2222,7721,69489.0,auto_finalized
A_c2_9b_mcts,A,c2,sprint_rollup_001,1,3,18,0.1667,5257,47313.0,auto_finalized
A_c2_9b_mcts,A,c2,tag_visibility_001,1,4,18,0.2222,6863,61767.0,auto_finalized
A_c2_9b_mcts,A,c2,timeline_caption_001,0,14,18,0.7778,39755,357795.0,parse_failure
A_c2_9b_mcts,A,c2,window_center_001,1,3,18,0.1667,4856,43704.0,auto_finalized
A_c3_9b_mcts,A,c3,alert_subject_001,0,0,0,,0,0.0,
A_c3_9b_mcts,A,c3,backlog_health_medium_c3_001,1,3,18,0.1667,9875,88875.0,auto_finalized
A_c3_9b_mcts,A,c3,c3_banner_trim_001,1,3,18,0.1667,8767,78903.0,auto_finalized
A_c3_9b_mcts,A,c3,c3_clamp_floor_001,1,3,18,0.1667,8831,79479.0,auto_finalized
A_c3_9b_mcts,A,c3,c3_csv_count_001,1,3,18,0.1667,8747,78723.0,auto_finalized
A_c3_9b_mcts,A,c3,c3_eta_label_001,1,3,18,0.1667,8868,79812.0,auto_finalized
A_c3_9b_mcts,A,c3,c3_initials_join_001,0,18,18,1.0000,149153,1342377.0,reviewer_rejected
A_c3_9b_mcts,A,c3,c3_slug_tail_001,1,3,18,0.1667,8743,78687.0,auto_finalized
A_c3_9b_mcts,A,c3,c3_title_case_001,1,5,18,0.2778,22586,203274.0,auto_finalized
A_c3_9b_mcts,A,c3,escalation_caption_001,0,18,18,1.0000,123128,1108152.0,reviewer_rejected
A_c3_9b_mcts,A,c3,invoice_alerts_medium_c3_001,1,3,18,0.1667,9900,89100.0,auto_finalized
A_c3_9b_mcts,A,c3,ledger_preview_001,1,2,18,0.1111,8335,75015.0,auto_finalized
A_c3_9b_mcts,A,c3,oncall_brief_medium_c3_001,1,3,18,0.1667,9834,88506.0,auto_finalized
A_c3_9b_mcts,A,c3,quota_snapshot_medium_c3_001,1,3,18,0.1667,9919,89271.0,auto_finalized
A_c3_9b_mcts,A,c3,release_notes_medium_c3_001,1,5,18,0.2778,15191,136719.0,auto_finalized
A_c3_9b_mcts,A,c3,roster_signature_001,0,12,18,0.6667,114071,1026639.0,reviewer_rejected
A_c3_9b_mcts,A,c3,segment_badge_001,0,3,18,0.1667,14019,126171.0,reviewer_rejected
A_c3_9b_mcts,A,c3,ticket_digest_medium_c3_001,1,4,18,0.2222,12629,113661.0,auto_finalized
A_c3_9b_mcts,A,c3,transfer_digest_001,0,13,18,0.7222,97841,880569.0,reviewer_rejected
A_c3_9b_mcts,A,c3,uptime_rollup_medium_c3_001,1,4,18,0.2222,12693,114237.0,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,board_rollup_001,1,4,18,0.2222,13289,119601.0,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,budget_snapshot_001,0,18,18,1.0000,137873,1240857.0,reviewer_rejected
